ID,ShortDesc,Prices,Engine,Year,Displacement,Power_kW,Horsepower,Km,PictureCount
16283657,RENAULT MEGANE GrandCoupé 1.5 Blue dCi Intens EDC Azonnal átvehető! Akciós!,7599000Ft,Dízel,2020/10,1461,85,116,6,11
16299357,RENAULT MEGANE 1.6 RN,35000Ft,Benzin,1998/6,1598,66,90,185000,5
16268453,RENAULT MEGANE Classic 1.4 RL,65000Ft,Benzin,1999/10,1390,55,75,179000,5
16132035,RENAULT MEGANE Classic 1.6 Business,77777Ft,Benzin,1998/11,1598,66,90,220000,4
16234608,RENAULT MEGANE 1.4 ECO fix ár,79000Ft,Benzin,1996/6,1390,51,69,169000,6
16277414,RENAULT MEGANE 1.9 DTi RT,80000Ft,Dízel,1998/3,1870,72,98,273000,5
16238061,RENAULT MEGANE 1.4 RN,80000Ft,Benzin,1999,1390,55,75,118000,6
16263789,RENAULT MEGANE Classic 1.4 16V RN Cool,99000Ft,Benzin,1999/7,1390,70,95,395000,4
16129201,RENAULT MEGANE 1.6 RN,99000Ft,Benzin,1996/9,1598,55,75,207000,7
16293087,RENAULT MEGANE 1.4 ECO,120000Ft,Benzin,1997/5,1390,51,69,418882,6
16292099,RENAULT MEGANE Classic 1.6 16V Expression Fix ár,129000Ft,Benzin,2000,1598,79,107,290000,5
13205409,RENAULT MEGANE 1.4 16V RN,130000Ft,Benzin,2000/6,1390,70,95,306479,8
16289389,RENAULT MEGANE 1.6 16V RT KLÍMÁS!!!,139999Ft,Benzin,2000/3,1598,79,107,316422,0
16217446,RENAULT MEGANE 1.4 Comfort,140000Ft,Benzin,1997/4,1390,51,69,360000,0
15958582,RENAULT MEGANE 1.9 DTi RT Klíma.ABS,140000Ft,Dízel,2001/5,1870,72,98,189000,6
16272890,RENAULT MEGANE 1.9 DTi RT Cool (Automata),"95000Ft+Reg.adó,Fizetendő: 145000Ft",Dízel,2000/5,1870,72,98,290000,1
15786652,RENAULT MEGANE 1.4 16V Expression,145000Ft,Benzin,1999/9,1390,70,95,208000,12
16285818,RENAULT MEGANE ,149000Ft,Dízel,2002/3,1870,66,90,222416,5
16251543,RENAULT MEGANE 1.4 16V Alize,149999Ft,Benzin,2002/6,1390,70,95,248000,6
16287107,RENAULT MEGANE 1.6 RN,155000Ft,Benzin,1996/7,1598,66,90,307900,6
16282463,RENAULT MEGANE Classic 1.6 RT ELADVA!! NEKEM MÁR VAN GAZDÁM :),159000Ft,Benzin,1999/3,1598,66,90,163766,12
16301356,RENAULT MEGANE Cabrio 2.0 16V RT,160000Ft,Benzin,1997/1,1998,108,147,180000,4
16184386,RENAULT MEGANE 1.6 16V Alize,160000Ft,Benzin,2000/11,1598,79,107,355000,6
15995420,RENAULT MEGANE 1.6 RN,160000Ft,Benzin,1996,1598,66,90,300000,3
16185104,RENAULT MEGANE 1.4 RL,170000Ft,Benzin,1996/10,1390,55,75,204000,6
16142196,RENAULT MEGANE 1.4 ECO,179000Ft,Benzin,1997/3,1390,51,69,194000,12
16274878,RENAULT MEGANE Cabrio 1.4 16V Sport,189000Ft,Benzin,1999/11,1390,70,95,145023,11
15934202,RENAULT MEGANE Classic 1.6 Business Klima,189000Ft,Benzin,1997/6,1598,66,90,249000,12
15933919,RENAULT MEGANE 1.4 Chic,189999Ft,Benzin,1998/7,1390,55,75,228312,2
16289857,RENAULT MEGANE 1.4 16V RXE,195000Ft,Benzin,1999/7,1390,70,95,337951,5
16238783,RENAULT MEGANE Classic 1.4 RN Magyar o.i. kevés km-el,195000Ft,Benzin,1997/10,1390,55,75,157720,6
16066096,RENAULT MEGANE Classic 1.6 16V Alize,198000Ft,Benzin/Gáz,2002/11,1598,79,107,511000,5
16298813,RENAULT MEGANE 1.6 RN,199000Ft,Benzin,1998/8,1598,66,90,369550,6
16239291,RENAULT MEGANE Coupe 1.6e RN,199000Ft,Benzin,1997/6,1598,66,90,163000,2
16219968,RENAULT MEGANE 2.0 RT Kitűnő. Megkímélt állapot!,199000Ft,Benzin,1996/8,1998,85,116,393560,11
16219959,RENAULT MEGANE Classic 1.6 16V Authentique,199000Ft,Benzin,2000/5,1598,79,107,304000,11
16150882,RENAULT MEGANE 1.4 Comfort,199000Ft,Benzin,1997/5,1390,51,69,147400,11
16090047,RENAULT MEGANE 1.4 RL CSOKITO,199000Ft,Benzin,1997,1390,55,75,250000,10
15890219,RENAULT MEGANE 1.4 16V RN,199000Ft,Benzin,1999/11,1390,70,95,301000,6
15992131,RENAULT MEGANE 1.4 16V Authentique Cool,199990Ft,Benzin,2001/7,1390,70,95,223000,6
16281805,RENAULT MEGANE 1.6 Chic,199999Ft,Benzin,1998/12,1598,66,90,357283,11
16298775,RENAULT MEGANE 1.8 16V Monaco,200000Ft,Benzin,2003/1,1783,85,116,285000,5
16191606,RENAULT MEGANE 1.4 RN,200000Ft,Benzin,1998,1390,55,75,230000,4
16176508,RENAULT MEGANE 1.4 16V RN,200000Ft,Benzin,2000/6,1390,70,95,320000,5
16278991,RENAULT MEGANE 1.5 dCi Authentique Plus Motor kitűnő,180000FtFizetendő: 205000Ft,Dízel,2003/10,1461,60,82,210000,6
15732847,RENAULT MEGANE 1.4 Comfort Téli / Nyári gumival,210000Ft,Benzin,1997/11,1390,51,69,252137,6
16291520,RENAULT MEGANE 1.5 dCi Dynamique,220000Ft,Dízel,2008,1461,78,106,299000,6
16284717,RENAULT MEGANE 1.4 ECO,220000Ft,Benzin,1997,1390,51,69,216332,5
16259585,RENAULT MEGANE 1.5 dCi Authentique,220000Ft,Dízel,2003/9,1461,60,82,267000,5
16258603,RENAULT MEGANE 1.4 16V RN Vonóhorog. Klíma,220000Ft,Benzin,1999/6,1390,70,95,306545,10
16147563,RENAULT MEGANE Classic 1.4 RN,220000Ft,Benzin,1999/5,1390,70,95,242455,6
16297879,RENAULT MEGANE 1.4 RN Eredeti Magyar autó + KM Garancia!!,225000Ft,Benzin,1996/12,1390,55,75,154000,12
16232741,RENAULT MEGANE 1.4 16V Authentique,225000Ft,Benzin,2001/3,1390,70,95,185000,6
16159333,RENAULT MEGANE 1.6 16V Authentique,229000Ft,Benzin,2001/2,1598,79,107,304000,11
16274360,RENAULT MEGANE 1.6 RN,230000Ft,Benzin,1998/5,1598,55,75,123400,4
16261003,RENAULT MEGANE Megane 1.4 BERLINE,230000Ft,Benzin,2001/1,1400,70,95,203770,6
16253838,RENAULT MEGANE Classic 1.4 RL,230000Ft,Benzin,1999/12,1390,55,75,290000,4
15866315,RENAULT MEGANE 1.6 RT,230000Ft,Benzin,1997/7,1598,66,90,245449,6
16291941,RENAULT MEGANE 1.4 Authentique Plus,239000Ft,Benzin,2005/11,1390,72,98,197000,5
16103323,RENAULT MEGANE 1.5 dCi Authentique Plus,239000Ft,Dízel,2004/9,1461,60,82,238000,6
15876415,RENAULT MEGANE 1.4 Chic,239999Ft,Benzin,1997/1,1390,51,69,249898,12
16160649,RENAULT MEGANE Coupe 2.0 16V Privilege,245000Ft,Benzin,2001/5,1998,103,140,204727,6
16101415,RENAULT MEGANE Classic 1.9 dCi Alize KLIMA.SZERVÓ.LÉGZSÁK,245000Ft,Dízel,2003/4,1870,75,102,225000,6
16230958,RENAULT MEGANE 1.4 RN,249000Ft,Benzin,1997/6,1390,55,75,257000,6
16289004,RENAULT MEGANE Classic 1.6 16V Authentique Napfénytető,249999Ft,Benzin,1999/12,1598,79,107,234654,12
12404037,RENAULT MEGANE 1.4 16V Dynamique,249999Ft,Benzin,2001/6,1390,70,95,189999,0
16301946,RENAULT MEGANE 1.4 16V Alize,250000Ft,Benzin,2001,1390,70,95,282000,6
16269741,RENAULT MEGANE 1.4 16V RN,250000Ft,Benzin,1999/12,1390,70,95,203231,6
16261487,RENAULT MEGANE 1.6 RT,250000Ft,Benzin,1997/8,1598,66,90,280000,4
16260310,RENAULT MEGANE 1.4 16V Alize,250000Ft,Benzin,2001,1390,70,95,206000,6
16249256,RENAULT MEGANE 1.4 RL,250000Ft,Benzin,1997/6,1390,55,75,257000,4
16203294,RENAULT MEGANE 1.6 16V RT,250000Ft,Benzin,1999,1598,79,107,290000,5
15828608,RENAULT MEGANE 1.9 dCi Alize JÓ ÁLLAPOTÚ!5 LITERT ESZIK!FRISS VIZSGA!,250000Ft,Dízel,2002/12,1870,75,102,320000,10
15797499,RENAULT MEGANE Classic 1.6 16V Privilege Classic,250000Ft,LPG,2000/12,1598,79,107,220069,6
15260404,RENAULT MEGANE 1.4 RL,250000Ft,Benzin,1998/3,1390,55,75,290000,6
15139584,RENAULT MEGANE Grandtour 1.9 dCi Privilege Magyarországi,250000Ft,Dízel,2005/4,1870,88,120,274000,10
16277660,RENAULT MEGANE Classic 1.6 RT,255000Ft,Benzin,1997/11,1598,66,90,293000,6
16189374,RENAULT MEGANE Classic 1.6 Business,255000Ft,Benzin,1996,1598,66,90,300100,6
16255617,RENAULT MEGANE 1.4 16V Alize,260000Ft,Benzin,2002/4,1390,70,95,247500,6
16158137,RENAULT MEGANE 1.4 Chic Klima,260000Ft,Benzin,1997/4,1390,55,75,194000,5
16155288,RENAULT MEGANE Classic 1.6 16V Authentique Kecskeméten,260000Ft,Benzin,2002,1598,79,107,614723,5
16140767,RENAULT MEGANE 1.6 RN,260000Ft,Benzin,1996/6,1598,66,90,164825,3
16294047,RENAULT MEGANE 1.4 16V Authentique,265000Ft,Benzin,2000/12,1390,70,95,167000,6
16289347,RENAULT MEGANE Classic 1.6 Business 2.TULAJ.NAGYON JÓ MOTOR,265000Ft,Benzin,1997/11,1598,66,90,266000,6
16156453,RENAULT MEGANE Classic 1.6 16V Alize Megkímélt valós KM!!,265000Ft,Benzin,2000/12,1598,79,107,172000,6
16288718,RENAULT MEGANE 1.9 dCi Alize,270000Ft,Dízel,2002,1870,75,102,233000,4
16278290,RENAULT MEGANE 1.9 dCi Expression,270000Ft,Dízel,2002,1870,75,102,330,6
15981966,RENAULT MEGANE Coupe 1.6e RN,270000Ft,Benzin,1996/11,1598,66,90,203000,5
16271993,RENAULT MEGANE 1.6 RT,275000Ft,Benzin,1997/8,1598,66,90,298000,6
16197024,RENAULT MEGANE Classic 1.4 RL,275000Ft,Benzin,1998/9,1390,55,75,209000,4
15488763,RENAULT MEGANE Classic 1.6 16V Expression,277000Ft,Benzin,2001/6,1598,79,107,325160,5
16285690,RENAULT MEGANE 1.4 RL,280000Ft,Benzin,1998/8,1390,55,75,199800,10
16280008,RENAULT MEGANE 1.4 Azure,285000Ft,Benzin,2004/2,1390,72,98,324659,6
16246413,RENAULT MEGANE 1.4 Authentique Plus Vizsgás //,288000Ft,Benzin,2004/3,1390,72,98,264500,6
16262998,RENAULT MEGANE 1.5 dCi Dynamique,290000Ft,Dízel,2004/12,1461,73,99,219000,6
16234316,RENAULT MEGANE 1.4 16V Alize,290000Ft,Benzin,2002/10,1390,70,95,353400,6
16215900,RENAULT MEGANE 1.9 dCi Dynamique,290000Ft,Dízel,2003/10,1870,88,120,300000,6
16203495,RENAULT MEGANE 1.4 16V RN Cool,290000Ft,Benzin,1999/7,1390,70,95,202114,5
15978369,RENAULT MEGANE Cabrio 1.6e,298000Ft,Benzin,1997/7,1598,66,90,210000,10
16301940,RENAULT MEGANE 1.4 ECO,299000Ft,Benzin,1997/7,1390,51,69,200046,12
16299720,RENAULT MEGANE 1.4 RL 15 ÉVIG A 2.TULAJDONOS BIRTOKÁBÓL. RENDESEN KARBANTARTOTT,299000Ft,Benzin,1998/9,1390,55,75,238000,8
16298492,RENAULT MEGANE Classic 1.4 16V Authentique Cool,299000Ft,Benzin,1999/6,1390,70,95,146243,12
16294636,RENAULT MEGANE 1.5 dCi Authentique,299000Ft,Dízel,2003/7,1461,60,82,332000,11
16223753,RENAULT MEGANE 1.6 16V RT Cool,299000Ft,Benzin,2000/12,1598,79,107,327000,6
16196011,RENAULT MEGANE 1.6 16V Alize,299000Ft,Benzin,2003,1598,79,107,314495,7
15916884,RENAULT MEGANE 1.4 16V Alize 152000km!MAGYAR!SZERVIZKÖNYVES!,299000Ft,Benzin,2002/2,1390,70,95,152000,5
15913744,RENAULT MEGANE 1.4 Chic Klima garanciával . ingyen szervizekkel. házhoz szállítással,299000Ft,Benzin,1998/6,1390,55,75,160,1
13997121,RENAULT MEGANE Classic 1.4 16V RN Cool,299000Ft,Benzin,2001,1390,70,95,320000,6
12909746,RENAULT MEGANE 1.6 RN 1.6 RN,299000Ft,Benzin,1997/2,1598,66,90,158000,5
16254937,RENAULT MEGANE Classic 1.6 16V Authentique Cool Klíma-Megkímélt Üzembiztos állapot,299999Ft,Benzin,2002/12,1598,79,107,241220,12
16281094,RENAULT MEGANE 1.6 16V Authentique,299999Ft,Benzin,2003,1598,83,113,260000,6
16255498,RENAULT MEGANE 1.5 dCi Authentique Komfort,300000Ft,Dízel,2004,1461,60,82,336000,4
16169670,RENAULT MEGANE 1.4 16V Dynamique Magyarországi-Elektromos ablak,300000Ft,Benzin,2000/8,1390,70,95,197000,12
16212827,RENAULT MEGANE 1.6 16V Expression HIDEGKLIMÁVAL VONOHORGOS,310000Ft,Benzin,2001/10,1598,79,107,259000,6
16289904,RENAULT MEGANE Classic 1.4 16V Alize KLIMA MULTIKORMANY EL.ABLAKOK,313000Ft,Benzin,2003/4,1390,70,95,306000,6
16289600,RENAULT MEGANE Classic 1.6 16V Privilege KLÍMA MO.-i 254.000KM,319000Ft,Benzin,2000/6,1598,79,107,254000,12
16254436,RENAULT MEGANE Classic 1.6 Business Klima,320000Ft,Benzin,1998/1,1598,66,90,324550,6
15910872,RENAULT MEGANE Classic 1.4 Business,320000Ft,Benzin,1997/3,1390,55,75,287000,4
15784167,RENAULT MEGANE 1.4 RN,320000Ft,Benzin,1999/6,1390,55,75,185000,6
16252811,RENAULT MEGANE Grandtour 1.5dCi,325000Ft,Dízel,2004/10,1461,74,101,410000,6
16035223,RENAULT MEGANE 1.9 dCi Alize,325000Ft,Dízel,2001/12,1870,75,102,225737,0
15139751,RENAULT MEGANE Classic 1.4 16V Prima / Mo. 1.tul./ B-107,329000Ft,Benzin,2001/8,1390,70,95,183645,11
16293846,RENAULT MEGANE Coupe 1.6 16V RXE,330000Ft,Benzin,1999,1598,79,107,240000,6
16290533,RENAULT MEGANE Classic 1.4 16V Expression KLÍMA.MAGYAR.VONÓHOROG!,330000Ft,Benzin,2002/4,1390,70,95,231600,10
16131847,RENAULT MEGANE 1.4 Authentique,330000Ft,Benzin,2003/9,1390,72,98,241700,6
15595353,RENAULT MEGANE 1.4 16V Expression Magánszemélytől,333000Ft,Benzin,1999/11,1390,70,95,220000,5
16200904,RENAULT MEGANE 1.4 16V RN,340000Ft,Benzin,1999,1390,70,95,280000,6
15361949,RENAULT MEGANE 1.4 Authentique Plus,345000Ft,Benzin,2003/2,1390,72,98,194000,11
16298777,RENAULT MEGANE Classic 1.4 RN FRISS MŰSZAKI!,349000Ft,Benzin,1997/9,1390,55,75,166064,11
16236805,RENAULT MEGANE 1.5 dCi Dynamique,349999Ft,Dízel,2005,1461,60,82,320000,6
16207088,RENAULT MEGANE 1.6 16V Authentique,349999Ft,Benzin,2004/1,1598,83,113,229262,6
16302202,RENAULT MEGANE Grandtour 1.5 dCi Dynamique,350000Ft,Dízel,2006,1461,78,106,450000,5
16296754,RENAULT MEGANE 1.6 16V Authentique,350000Ft,Benzin,2003/6,1598,83,113,255000,4
16286173,RENAULT MEGANE 1.4 16V Alize,350000Ft,Benzin,2002/11,1390,70,95,238800,11
16284182,RENAULT MEGANE 1.4 RN,350000Ft,Benzin,2000/7,1390,55,75,283000,5
16283386,RENAULT MEGANE Classic 1.4 16V Alize,350000Ft,Benzin,2001/8,1390,70,95,207000,5
16264008,RENAULT MEGANE 1.6 16V RXE,350000Ft,Benzin,2000/1,1598,79,107,275353,6
16259792,RENAULT MEGANE 1.9 dCi Dynamique Sedan,350000Ft,Dízel,2005/6,1870,88,120,218500,4
16254781,RENAULT MEGANE 1.6 16V Authentique,350000Ft,Benzin,2003/5,1598,83,113,167100,6
16204488,RENAULT MEGANE 1.9 DTi RT,350000Ft,Dízel,1999,1870,72,98,377555,3
16199276,RENAULT MEGANE 1.4 16V RN,350000Ft,Benzin,2000/7,1390,70,95,300000,0
16194576,RENAULT MEGANE 1.5 dCi Dynamique Komfort,350000Ft,Dízel,2003,1461,60,82,290290,6
16186271,RENAULT MEGANE 1.6 16V Expression,350000Ft,Benzin,2000,1598,79,107,363566,6
16167603,RENAULT MEGANE 1.4 Chic,350000Ft,Benzin,2000/5,1390,55,75,202054,8
16151434,RENAULT MEGANE 1.6 16V RT Cool,350000Ft,Benzin,1999/12,1598,79,107,197438,12
15735862,RENAULT MEGANE Classic 1.4 16V RN Cool Kp zár. el ablak. téli +nyári kerékgarnitúrával. friss müszaki vizsgával,350000Ft,Benzin,1999/11,1390,70,95,201965,12
14725962,RENAULT MEGANE Classic 1.4 RL,350000Ft,Benzin,1997/3,1390,58,79,220000,6
16228958,RENAULT MEGANE 1.6 16V RT,359000Ft,Benzin,2000/3,1598,79,107,216000,5
15907906,RENAULT MEGANE 1.5 dCi Azure Xenon! kézi 6,359000Ft,Dízel,2006/5,1461,78,106,360000,6
16299448,RENAULT MEGANE 1.4 16V RN,359999Ft,Benzin,2000/3,1390,70,95,231534,5
16236452,RENAULT MEGANE 1.5 dCi Authentique Komfort,260000FtFizetendő: 360000Ft,Dízel,2004/10,1461,74,101,220000,6
11321847,RENAULT MEGANE 1.9 dCi Monaco,"270000Ft+Reg.adó,Fizetendő: 365000Ft",Dízel,2006/8,1870,88,120,220000,6
16093815,RENAULT MEGANE 1.9 dCi Alize,369000Ft,Dízel,2001/6,1870,75,102,235000,7
16301884,RENAULT MEGANE 1.9 dCi Monaco,370000Ft,Dízel,2003/7,1870,88,120,278350,6
16156281,RENAULT MEGANE Classic 1.4 16V Alize,370000Ft,Benzin,2002,1390,70,95,260300,6
16291835,RENAULT MEGANE 1.5 dCi Authentique,380000Ft,Dízel,2004,1461,74,101,275000,6
16276427,RENAULT MEGANE 1.6 16V Monaco Friss műszaki!,380000Ft,Benzin,2002/11,1598,79,107,239111,5
16256465,RENAULT MEGANE 1.6 16V RXE,385000Ft,Benzin,1999/11,1598,79,107,315000,6
16292013,RENAULT MEGANE Grandtour 1.5 dCi Authentique Plus,389000Ft,Dízel,2004/12,1461,60,82,346800,9
16273914,RENAULT MEGANE 1.5 dCi Authentique Komfort,"350000Ft+Reg.adó,Fizetendő: 389000Ft",Dízel,2004/10,1461,74,101,230000,6
16188292,RENAULT MEGANE Limousine 1.6 Authentique,389000Ft,Benzin,2004/12,1598,83,113,300000,5
16291881,RENAULT MEGANE 1.5 dCi Authentique Plus,390000Ft,Dízel,2003,1461,60,82,237000,6
16123450,RENAULT MEGANE Grandtour 1.5 dCi Dynamique,390000Ft,Dízel,2004/5,1461,74,101,281961,6
16199888,RENAULT MEGANE 1.4 RN,395000Ft,Benzin,1999/8,1390,55,75,234000,6
16282357,RENAULT MEGANE Limousine 1.9 dCi Dynamique,397000Ft,Dízel,2003/5,1870,88,120,387490,10
15575969,RENAULT MEGANE 1.9 DTi RT Friss műszakival,397777Ft,Dízel,1999/10,1870,72,98,341569,12
16281296,RENAULT MEGANE 1.9 dCi Dynamique,399000Ft,Dízel,2004/12,1870,88,120,340000,5
16239553,RENAULT MEGANE 1.5 dCi Authentique Plus klímás,399000Ft,Dízel,2004,1461,73,99,307000,6
16239533,RENAULT MEGANE 1.5 dCi Authentique klímás,399000Ft,Dízel,2002,1461,60,82,229000,6
16234371,RENAULT MEGANE Classic 1.4 16V Alize,399000Ft,Benzin,2002/6,1390,70,95,280805,10
16231070,RENAULT MEGANE 1.4 16V Alize VONÓHOROG!!!,399000Ft,Benzin,2003/6,1390,70,95,181000,10
16195338,RENAULT MEGANE 2.0 Dynamique,399000Ft,Benzin,2004/5,1998,99,135,12345,6
16185864,RENAULT MEGANE 1.4 16V RN Cool,399000Ft,Benzin,2001/5,1390,70,95,275000,9
15726516,RENAULT MEGANE Classic 1.4 16V RN,399000Ft,Benzin,1999/7,1390,70,95,206989,11
15630878,RENAULT MEGANE 1.4 16V Authentique Cool VÉGIG VEZETETT SZERVÍZKÖNYV!!BENZIN-GÁZ ÜZEM!,399000Ft,Benzin,2001/5,1390,70,95,217000,6
14948587,RENAULT MEGANE Classic 1.4 16V Prima,399000Ft,Benzin,2003/1,1390,70,95,216000,6
16272821,RENAULT MEGANE 1.5 dCi Authentique Plus,399900Ft,Dízel,2003/10,1461,60,82,313358,6
16280413,RENAULT MEGANE 1.5 dCi Authentique klíma.alufelni.5l fogyasztás,399999Ft,Dízel,2006/10,1461,63,86,310000,6
16251102,RENAULT MEGANE 1.6 Privilege,399999Ft,Benzin,2003/1,1598,83,113,249154,4
16297752,RENAULT MEGANE Classic 1.4 16V Expression Friss Műszaki-Klíma,400000Ft,Benzin,2000/8,1390,70,95,171600,7
16288766,RENAULT MEGANE 1.6 16V RT Cool Berline,400000Ft,Benzin,2001/10,1598,79,107,267000,4
16281824,RENAULT MEGANE Classic 1.6 16V RT Cool Klíma,400000Ft,Benzin,2000/8,1598,79,107,205000,12
16269988,RENAULT MEGANE Cabrio 1.6 16V Expression,400000Ft,Benzin,2000/11,1598,79,107,234000,5
16232326,RENAULT MEGANE 1.9 dCi Alize,400000Ft,Dízel,2003/2,1870,75,102,239240,6
16254138,RENAULT MEGANE 1.6 16V RT Classic RTE,400000Ft,Benzin,2000/5,1598,79,107,272000,5
16222607,RENAULT MEGANE 1.5 dCi Authentique Komfort,400000Ft,Dízel,2004/10,1461,60,82,500300,4
16195030,RENAULT MEGANE Classic 1.6 16V Monaco,400000Ft,Benzin,2003/10,1598,79,107,212660,6
15935945,RENAULT MEGANE 1.6 16V RT,400000Ft,Benzin,1999,1598,79,107,199633,6
16199429,RENAULT MEGANE 1.9 dCi Dynamique Plus,410000Ft,Dízel,2004/6,1870,88,120,280000,6
16297257,RENAULT MEGANE Grandtour 1.5 dCi Authentique Plus,419000Ft,Dízel,2006/10,1461,63,86,354000,5
16281757,RENAULT MEGANE 1.9 DTi RXE,420000Ft,Dízel,1999/6,1870,72,98,259000,6
16249559,RENAULT MEGANE 1.5 dCi Authentique Plus,420000Ft,Dízel,2003,1461,60,82,309000,5
16042311,RENAULT MEGANE 1.5 dCi Authentique Komfort,420000Ft,Dízel,2004/12,1461,74,101,256500,6
16290113,RENAULT MEGANE BREAK 1.4E,430000Ft,Benzin,1999/9,1390,55,75,166745,6
16236485,RENAULT MEGANE Grandtour 1.5 dCi Dynamique MAGYARORSZÁGI ELSŐ TULAJ 2 KULCS.LEINFORMÁLHATÓ!!!,430000Ft,Dízel,2006/10,1461,63,86,394250,6
16164344,RENAULT MEGANE 1.5 dCi Expression,439999Ft,Dízel,2005/9,1461,78,106,275589,12
16298375,RENAULT MEGANE 1.6 16V Dynamique Komfort,440000Ft,Benzin,2005,1598,83,113,255000,5
16276652,RENAULT MEGANE Classic 1.9 dCi Alize,440000Ft,Dízel,2003,1870,75,102,314600,6
