,Restaurant,Product_Name,Price
114," Don Pepe - Kálmán Imre utca
",Vegán Pepe margaritája pizza vékony tésztával (32cm),innen1990Ft
115," Don Pepe - Kálmán Imre utca
",Vegán Pikáns-Füstölt kolbászos pizza vékony tésztával (32cm),innen2190Ft
116," Don Pepe - Kálmán Imre utca
",Vegán Pikáns-füstölt kolbászos-gombás pizza vékony tésztával (32cm),innen2190Ft
117," Don Pepe - Kálmán Imre utca
",Vegán Pikáns-füstölt kolbászos-kukoricás pizza vékony tésztával (32cm),innen2190Ft
118," Don Pepe - Kálmán Imre utca
","Vegán Taco pizza vékony tésztával, füstölt tofuval (32cm)",innen2390Ft
119," Don Pepe - Kálmán Imre utca
","Vegán Taco pizza vékony tésztával, hagymás szejtánnal",innen2390Ft
120," Don Pepe - Kálmán Imre utca
","Vegán Taco pizza vékony tésztával, pikáns füstölt kobásszal",innen2390Ft
121," Don Pepe - Kálmán Imre utca
",Vegán Capricciosa pizza vékony tésztával (32cm),innen2990Ft
122," Don Pepe - Kálmán Imre utca
",Vegán Pepperoni & Pfefferoni pizza vékony tésztával (32cm),innen2490Ft
123," Don Pepe - Kálmán Imre utca
",Vegán Veteményes pizza vékony tésztával (32cm),innen1990Ft
124," Don Pepe - Kálmán Imre utca
","A hónap extra pizzája: Lightcarb Vegán gyros pizza normál tésztával, pikáns-füstölt kolbásszal (32cm)",innen2390Ft
125," Don Pepe - Kálmán Imre utca
","LightCarb Vegán BBQ pizza normál tésztával, füstölt kolbásszal (32cm)",innen2290Ft
126," Don Pepe - Kálmán Imre utca
","LightCarb Vegán BBQ pizza normál tésztával, füstölt tofuval (32cm)",innen2290Ft
127," Don Pepe - Kálmán Imre utca
","LightCarb Vegán BBQ pizza normál tésztával, hagymás szejtánnal (32cm)",innen2290Ft
128," Don Pepe - Kálmán Imre utca
",LightCarb Vegán fokhagymás-tejfölös pizza normál tésztával füstölt tofuval (32cm),innen2390Ft
129," Don Pepe - Kálmán Imre utca
",LightCarb Vegán fokhagymás-tejfölös pizza normál tésztával hagymás szejtánnal (32cm),innen2390Ft
130," Don Pepe - Kálmán Imre utca
",LightCarb Vegán fokhagymás-tejfölös pizza normál tésztával pikáns-füstölt kolbásszal (32cm),innen2390Ft
131," Don Pepe - Kálmán Imre utca
",LightCarb Vegán Füstölt Ko-Go-Ku pizza normál tésztával (32cm),innen2290Ft
132," Don Pepe - Kálmán Imre utca
",LightCarb Vegán Füstölt To-Go-Ku pizza normál tésztával (32cm),innen2290Ft
133," Don Pepe - Kálmán Imre utca
",LightCarb Vegán Füstölt tofus pizza normál tésztával (32cm),innen2190Ft
134," Don Pepe - Kálmán Imre utca
",LightCarb Vegán Füstölt tofus-gombás pizza normál tésztával (32cm),innen2190Ft
135," Don Pepe - Kálmán Imre utca
",LightCarb Vegán Füstölt tofus-kukoricás pizza normál tésztával (32cm),innen2190Ft
136," Don Pepe - Kálmán Imre utca
","LightCarb Vegán gyros pizza normál tésztával, füstölt tofuval (32cm)",innen2390Ft
137," Don Pepe - Kálmán Imre utca
","Lightcarb Vegán gyros pizza normál tésztával, hagymás szejtánnal (32cm)",innen2390Ft
138," Don Pepe - Kálmán Imre utca
",LightCarb Vegán Hagymás Sze-Go-Ku pizza normál tésztával (32cm),innen2290Ft
139," Don Pepe - Kálmán Imre utca
",LightCarb Vegán Hagymás szejtános pizza normál tésztával (32cm),innen2190Ft
140," Don Pepe - Kálmán Imre utca
",LightCarb Vegán Hagymás szejtános-gombás pizza normál tésztával (32cm),innen2190Ft
141," Don Pepe - Kálmán Imre utca
",LightCarb Vegán Hagymás szejtános-kukoricás pizza normál tésztával (32cm),innen2190Ft
142," Don Pepe - Kálmán Imre utca
","LightCarb Vegán Hawaii pizza normál tésztával, füstölt tofuval (32cm)",innen2290Ft
143," Don Pepe - Kálmán Imre utca
","LightCarb Vegán Hawaii pizza normál tésztával, hagymás szejtánnal (32cm)",innen2290Ft
144," Don Pepe - Kálmán Imre utca
","LightCarb Vegán Hawaii pizza normál tésztával, pikáns-füstölt kolbásszal (32cm)",innen2290Ft
145," Don Pepe - Kálmán Imre utca
","LightCarb Vegán Jalapeno papa pizza normál tésztával, füstölt tofuval (32cm) (csípős)",innen2290Ft
146," Don Pepe - Kálmán Imre utca
","LightCarb Vegán Jalapeno papa pizza normál tésztával, hagymás szejtánnal (32cm) (csípős)",innen2290Ft
147," Don Pepe - Kálmán Imre utca
","LightCarb Vegán Jalapeno papa pizza normál tésztával, pikáns-füstölt kolbásszal (32cm) (csípős)",innen2290Ft
148," Don Pepe - Kálmán Imre utca
","LightCarb Vegán Keménylegény pizza normál tésztával, füstölt tofuval (32cm) (csípős)",innen2190Ft
149," Don Pepe - Kálmán Imre utca
","LightCarb Vegán Keménylegény pizza normál tésztával, hagymás szejtánnal (32cm) (csípős)",innen2190Ft
150," Don Pepe - Kálmán Imre utca
","LightCarb Vegán Keménylegény pizza normál tésztával, pikáns-füstölt kolbászkarikákkal (32cm) (csípős)",innen2190Ft
151," Don Pepe - Kálmán Imre utca
","LightCarb Vegán Magyaros pizza normál tésztával, füstölt tofuval (32cm) (csípős)",innen2190Ft
152," Don Pepe - Kálmán Imre utca
","LightCarb Vegán Magyaros pizza normál tésztával, hagymás szejtánnal (32cm) (csípős)",innen2190Ft
153," Don Pepe - Kálmán Imre utca
","LightCarb Vegán Magyaros pizza normál tésztával, pikáns-füstölt kolbásszal (32cm) (csípős)",innen2190Ft
154," Don Pepe - Kálmán Imre utca
","LightCarb Vegán Mexikói pizza normál tésztával, füstölt tofuval (32cm) (csípős)",innen2190Ft
155," Don Pepe - Kálmán Imre utca
","LightCarb Vegán Mexikói pizza normál tésztával, hagymás szejtánnal (32cm)",innen2190Ft
156," Don Pepe - Kálmán Imre utca
","LightCarb Vegán Mexikói pizza normál tésztával, pikáns-füstölt kolbásszal (32cm) (csípős)",innen2190Ft
157," Don Pepe - Kálmán Imre utca
","LightCarb Vegán Mint a Moziban! pizza normál tésztával, füstölt tofuval (32cm)",innen2790Ft
158," Don Pepe - Kálmán Imre utca
","LightCarb Vegán Mint a Moziban! pizza normál tésztával, hagymás szejtánnal (32cm)",innen2790Ft
159," Don Pepe - Kálmán Imre utca
","LightCarb Vegán Mint a Moziban! pizza normál tésztával, pikáns-füstölt kolbásszal (32cm)",innen2790Ft
160," Don Pepe - Kálmán Imre utca
","LightCarb Vegán Nagyon Mérges Vagyok! pizza normál tésztával, füstölt tofuval (32cm)",innen2690Ft
161," Don Pepe - Kálmán Imre utca
","LightCarb Vegán Nagyon Mérges Vagyok! pizza normál tésztával, hagymás szejtánnal (32cm)",innen2690Ft
162," Don Pepe - Kálmán Imre utca
","LightCarb Vegán Nagyon Mérges Vagyok! pizza normál tésztával, pikáns füstölt kolbásszal (32cm)",innen2690Ft
163," Don Pepe - Kálmán Imre utca
",LightCarb Vegán Pepe margaritája pizza normál tésztával (32cm),innen1990Ft
164," Don Pepe - Kálmán Imre utca
",LightCarb Vegán Pikáns-Füstölt kolbászos pizza normál tésztával (32cm),innen2190Ft
165," Don Pepe - Kálmán Imre utca
",LightCarb Vegán Pikáns-füstölt kolbászos-gombás pizza normál tésztával (32cm),innen2190Ft
166," Don Pepe - Kálmán Imre utca
",LightCarb Vegán Pikáns-füstölt kolbászos-kukoricás pizza normál tésztával (32cm),innen2190Ft
167," Don Pepe - Kálmán Imre utca
","LightCarb Vegán Taco pizza normál tésztával, füstölt tofuval (32cm)",innen2390Ft
168," Don Pepe - Kálmán Imre utca
","LightCarb Vegán Taco pizza normál tésztával, hagymás szejtánnal (32cm)",innen2390Ft
169," Don Pepe - Kálmán Imre utca
","LightCarb Vegán Taco pizza normál tésztával, pikáns-füstölt kolbásszal",innen2390Ft
170," Don Pepe - Kálmán Imre utca
",LightCarb Vegán Capricciosa pizza normál tésztával (32cm),innen2990Ft
171," Don Pepe - Kálmán Imre utca
",LightCarb Vegán Pepperoni & Pfefferoni pizza normál tésztával (32cm),innen2490Ft
172," Don Pepe - Kálmán Imre utca
",LightCarb Vegán Veteményes pizza normál tésztával (32cm),innen1990Ft
173," Don Pepe - Kálmán Imre utca
","LightCarb Vegán BBQ pizza vékony tésztával, füstölt tofuval (32cm)",innen2290Ft
174," Don Pepe - Kálmán Imre utca
","LightCarb Vegán BBQ pizza vékony tésztával, hagymás szejtánnal (32cm)",innen2290Ft
175," Don Pepe - Kálmán Imre utca
","LightCarb Vegán BBQ pizza vékony tésztával, pikáns-füstölt kolbásszal (32cm)",innen2290Ft
176," Don Pepe - Kálmán Imre utca
",LightCarb Vegán fokhagymás-tejfölös pizza vékony tésztával füstölt tofuval (32cm),innen2390Ft
177," Don Pepe - Kálmán Imre utca
",LightCarb Vegán fokhagymás-tejfölös pizza vékony tésztával pikáns-füstölt kolbásszal (32cm),innen2390Ft
178," Don Pepe - Kálmán Imre utca
",LightCarb Vegán fokhagymás-tejfölös pizza vékony tésztával hagymás szejtánnal (32cm),2390Ft
179," Don Pepe - Kálmán Imre utca
",LightCarb Vegán Füstölt Ko-Go-Ku pizza vékony tésztával (32cm),innen2290Ft
180," Don Pepe - Kálmán Imre utca
",LightCarb Vegán Füstölt To-Go-Ku pizza vékony tésztával (32cm),innen2290Ft
181," Don Pepe - Kálmán Imre utca
",LightCarb Vegán Füstölt tofus pizza vékony tésztával (32cm),innen2190Ft
182," Don Pepe - Kálmán Imre utca
",LightCarb Vegán Füstölt tofus-gombás pizza vékony tésztával (32cm),innen2190Ft
183," Don Pepe - Kálmán Imre utca
",LightCarb Vegán Füstölt tofus-kukoricás pizza vékony tésztával (32cm),innen2190Ft
184," Don Pepe - Kálmán Imre utca
","LightCarb Vegán gyros pizza vékony tésztával, füstölt tofuval (32cm)",innen2390Ft
185," Don Pepe - Kálmán Imre utca
","Lightcarb Vegán gyros pizza vékony tésztával, hagymás szejtánnal (32cm)",innen2390Ft
186," Don Pepe - Kálmán Imre utca
","Lightcarb Vegán gyros pizza vékony tésztával, pikáns-füstölt kolbásszal (32cm)",innen2390Ft
187," Don Pepe - Kálmán Imre utca
",LightCarb Vegán Hagymás Sze-Go-Ku pizza vékony tésztával (32cm),innen2290Ft
188," Don Pepe - Kálmán Imre utca
",LightCarb Vegán Hagymás szejtános pizza vékony tésztával (32cm),innen2190Ft
189," Don Pepe - Kálmán Imre utca
",LightCarb Vegán Hagymás szejtános-gombás pizza vékony tésztával (32cm),innen2190Ft
190," Don Pepe - Kálmán Imre utca
",LightCarb Vegán Hagymás szejtános-kukoricás pizza vékony tésztával (32cm),innen2190Ft
191," Don Pepe - Kálmán Imre utca
","LightCarb Vegán Hawaii pizza vékony tésztával, füstölt tofuval (32cm)",innen2290Ft
192," Don Pepe - Kálmán Imre utca
","LightCarb Vegán Hawaii pizza vékony tésztával, pikáns-füstölt kolbásszal (32cm)",innen2290Ft
193," Don Pepe - Kálmán Imre utca
","LightCarb Vegán Jalapeno papa pizza vékony tésztával, füstölt tofuval (32cm) (csípős)",innen2290Ft
194," Don Pepe - Kálmán Imre utca
","LightCarb Vegán Jalapeno papa pizza vékony tésztával, hagymás szejtánnal (32cm) (csípős)",innen2290Ft
195," Don Pepe - Kálmán Imre utca
","LightCarb Vegán Jalapeno papa pizza vékony tésztával, pikáns-füstölt kolbásszal (32cm) (csípős)",innen2290Ft
196," Don Pepe - Kálmán Imre utca
","LightCarb Vegán Keménylegény pizza vékony tésztával, füstölt tofuval (32cm) (csípős)",innen2190Ft
197," Don Pepe - Kálmán Imre utca
","LightCarb Vegán Keménylegény pizza vékony tésztával, hagymás szejtánnal (32cm) (csípős)",innen2190Ft
198," Don Pepe - Kálmán Imre utca
","LightCarb Vegán Keménylegény pizza vékony tésztával, pikáns-füstölt kolbászkarikákkal (32cm) (csípős)",innen2190Ft
199," Don Pepe - Kálmán Imre utca
","LightCarb Vegán Magyaros pizza vékony tésztával, füstölt tofuval (32cm)",innen2190Ft
200," Don Pepe - Kálmán Imre utca
","LightCarb Vegán Magyaros pizza vékony tésztával, hagymás szejtánnal (32cm) (csípős)",innen2190Ft
201," Don Pepe - Kálmán Imre utca
","LightCarb Vegán Magyaros pizza vékony tésztával, pikáns-füstölt kolbásszal (32cm) (csípős)",innen2190Ft
202," Don Pepe - Kálmán Imre utca
","LightCarb Vegán Mexikói pizza vékony tésztával, füstölt tofuval (32cm) (csípős)",innen2190Ft
203," Don Pepe - Kálmán Imre utca
","LightCarb Vegán Mexikói pizza vékony tésztával, hagymás szejtánnal (32cm) (csípős)",innen2190Ft
204," Don Pepe - Kálmán Imre utca
","LightCarb Vegán Mexikói pizza vékony tésztával, pikáns-füstölt kolbásszal (32cm) (csípős)",innen2190Ft
205," Don Pepe - Kálmán Imre utca
","LightCarb Vegán Mint a Moziban! pizza vékony tésztával, füstölt tofuval (32cm)",innen2790Ft
206," Don Pepe - Kálmán Imre utca
","LightCarb Vegán Mint a Moziban! pizza vékony tésztával, hagymás szejtánnal (32cm)",innen2790Ft
207," Don Pepe - Kálmán Imre utca
","LightCarb Vegán Mint a Moziban! pizza vékony tésztával, pikáns-füstölt kolbásszal (32cm)",innen2790Ft
208," Don Pepe - Kálmán Imre utca
","LightCarb Vegán Nagyon Mérges Vagyok! pizza vékony tésztával, füstölt tofuval (32cm)",innen2690Ft
209," Don Pepe - Kálmán Imre utca
","LightCarb Vegán Nagyon Mérges Vagyok! pizza vékony tésztával, hagymás szejtánnal (32cm)",innen2690Ft
